year,month,day,hour,minute,latitude,longitude,accident_type,fatalities,injuries,road_shape,accident_category,police_station_code,severity_a,severity_b,police_station_name
2023,12,1,19,35,35.75275222222222,139.79275194444443,2,0,1,14,41,667,2,0,千住
2023,12,6,6,20,35.75581555555556,139.79005972222222,2,0,1,14,41,667,2,0,千住
2023,12,7,11,8,35.748828333333336,139.79918194444446,2,0,1,14,21,667,4,2,千住
2023,12,7,20,10,35.75080305555556,139.81281416666667,2,0,1,14,1,667,4,2,千住
2023,12,7,13,0,35.750926944444444,139.7985852777778,2,0,1,14,21,667,2,4,千住
2023,12,12,8,55,35.742468333333335,139.79767444444445,2,0,1,14,21,667,4,2,千住
2023,12,16,10,45,35.75515583333333,139.7983913888889,2,0,1,1,21,667,4,2,千住
2023,12,23,9,55,35.7548575,139.80146805555557,2,0,1,1,41,667,2,0,千住
2023,12,28,18,0,35.7491875,139.79603166666666,2,0,1,1,41,667,2,0,千住
2023,12,30,13,0,35.757396388888885,139.8002177777778,2,0,1,7,41,667,2,0,千住
2023,12,30,18,35,35.75091333333334,139.79678555555554,2,0,1,1,1,667,2,0,千住
2023,10,27,8,0,35.749565555555556,139.8054413888889,2,0,1,14,21,667,4,2,千住
2023,12,3,14,0,35.792925,139.77006305555557,2,0,1,1,21,668,4,2,西新井
2023,12,3,15,10,35.76663444444444,139.79520694444443,2,0,1,14,21,668,4,2,西新井
2023,12,3,19,30,35.76505916666667,139.77086194444445,2,0,1,14,41,668,2,0,西新井
2023,12,4,12,30,35.77155611111111,139.76774250000003,2,0,1,14,41,668,2,0,西新井
2023,12,4,15,20,35.787908333333334,139.75939444444444,2,0,1,1,21,668,4,2,西新井
2023,12,4,15,30,35.78831638888889,139.79609,2,0,1,1,21,668,4,2,西新井
2023,12,5,21,0,35.76468638888889,139.78380027777777,2,0,1,1,41,668,2,0,西新井
2023,12,5,18,30,35.77374805555556,139.774505,2,0,1,14,21,668,4,2,西新井
2023,12,6,15,22,35.76596527777778,139.77761111111113,2,0,1,14,1,668,4,2,西新井
2023,12,6,19,20,35.76587694444444,139.79836777777777,2,0,1,1,1,668,4,2,西新井
2023,12,7,11,37,35.769039166666666,139.76671944444445,2,0,1,14,21,668,4,2,西新井
2023,12,7,16,48,35.77200916666666,139.80336916666667,2,0,1,14,41,668,2,0,西新井
2023,12,7,18,35,35.77405972222222,139.77184722222225,2,0,1,14,41,668,2,0,西新井
2023,12,7,19,57,35.77859055555555,139.7510975,2,0,1,1,41,668,2,0,西新井
2023,12,7,18,35,35.785241388888885,139.76330694444445,2,0,1,1,21,668,4,2,西新井
2023,12,8,0,11,35.77521055555555,139.75679166666666,2,0,1,1,1,668,4,2,西新井
2023,12,2,17,55,35.77174888888889,139.78230083333335,2,0,1,14,21,668,4,2,西新井
